Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Anhui,Mainland China,1/21/2020 10pm,NA,NA,NA,3
Beijing,Mainland China,1/21/2020 10pm,10,NA,NA,NA
Chongqing,Mainland China,1/21/2020 10pm,5,NA,NA,NA
Guangdong,Mainland China,1/21/2020 10pm,17,NA,NA,4
Guangxi,Mainland China,1/21/2020 10pm,NA,NA,NA,1
Guizhou,Mainland China,1/21/2020 10pm,NA,NA,NA,1
Hainan,Mainland China,1/21/2020 10pm,NA,NA,NA,1
Heilongjiang,Mainland China,1/21/2020 10pm,NA,NA,NA,1
Henan,Mainland China,1/21/2020 10pm,1,NA,NA,NA
Hong Kong,Hong Kong,1/21/2020 10pm,NA,NA,NA,117
Hubei,Mainland China,1/21/2020 10pm,270,6,25,11
Hunan,Mainland China,1/21/2020 10pm,1,NA,NA,NA
Jiangxi,Mainland China,1/21/2020 10pm,2,NA,NA,NA
Jilin,Mainland China,1/21/2020 10pm,NA,NA,NA,1
Liaoning,Mainland China,1/21/2020 10pm,NA,NA,NA,1
Ningxia,Mainland China,1/21/2020 10pm,NA,NA,NA,1
Shandong,Mainland China,1/21/2020 10pm,1,NA,NA,NA
Shanghai,Mainland China,1/21/2020 10pm,9,NA,NA,10
Sichuan,Mainland China,1/21/2020 10pm,2,NA,NA,1
Taiwan,Taiwan,1/21/2020 10pm,1,NA,NA,NA
Tianjin,Mainland China,1/21/2020 10pm,2,NA,NA,NA
Yunnan,Mainland China,1/21/2020 10pm,1,NA,NA,NA
Zhejiang,Mainland China,1/21/2020 10pm,5,NA,NA,16
NA,Japan,1/21/2020 10pm,1,NA,NA,NA
Washington,US,1/21/2020 10pm,1,NA,NA,NA
NA,South Korea,1/21/2020 10pm,1,NA,NA,NA
NA,Thailand,1/21/2020 10pm,2,NA,NA,NA
